entry,weight,info,ref_dis,pers,form,bin
医生把一根长２５厘米、直径１．２毫米的中空针，穿过母亲的腹壁和子宫壁,13,new,10,0,ba,heavy
医生然后把一根塑料软管沿针孔插入,6,new,10,0.5,ba,medium
把主动脉瓣膜撑开,5,old,1,0,ba,light
这是山阳县委、县政府在把自己工作中的不足公开向群众曝光的一个场面,8,new,10,0,ba,medium
把这件事告诉全县人民,3,old,10,0,ba,light
把歹徒通向路边,2,old,1,1,ba,light
把刀放下,1,old,2,1,ba,light
相持了一阵、歹徒把手中钢刀抛向路边的民房,4,old,3,0,ba,light
一个扫蹚腿把歹徒掀翻在地,2,old,1,1,ba,light
我把老伴也带来了,2,new,10,1,ba,light
我看老哥把嫂子带上了,2,new,10,0,ba,light
把自家的服装加工业搞得再红火些,8,new,10,0,ba,medium
一下子就把江底掏空了一截,2,old,0.5,0,ba,light
然后把前一块向前顶推一段,3,old,10,0,ba,light
1962年组织上决定把他调往艰苦的龙泉县,1,old,1,1,ba,light
车站服务人员敏捷地把一块铺着红色地毯的长条木板放在车厢门口,13,new,10,0,ba,heavy
把大桥的雄伟告诉他们,5,old,10,0,ba,light
并把金光闪闪的一级英雄模范奖章戴在钱老胸前,13,new,10,0,ba,heavy
就是要把科学技术学到手,4,new,10,0.5,ba,light
我把这两样东西送到冯·卡尔老师的手里,5,old,1,1,ba,light
中共中央组织部把雷锋、焦裕禄、王进喜、史来贺跟钱学森这５个人作为解放４０年来在群众中享有崇高威望的共产党员的优秀代表,,,,,ba,light
把总书记走来的方向照得通亮,8,new,10,0,ba,medium
祖国把剑与盾交给苏宁这一代军人,3,new,10,0,ba,light
１９８１年他就大胆提出把计算机引入决策系统,3,new,10,0,ba,light
他这个普通党员把党和人民的利益融汇于胸中,7,new,10,0,ba,medium
有责任把战士们培养成开拓的一代、艰苦奋斗的一代、一心为公的一代,3,old,1,0,ba,light
市场却不肯把她那媚人的秋波送向辽宁,7,new,10,0,ba,medium
辽宁人不善于把奖牌变为名牌,2,old,1,0,ba,light
不用说把辽宁的产品打出去,5,new,10,2,ba,light
要把产品，部优、省优、国优拿来,8,new,10,0,ba,medium
但愿我们的企业不要把市场观念，竞争意识停留在口头上,8,old,1,0,ba,medium
诙谐的上海人把两者之间的竞争，幽默地称之为＂斗鸡＂,7,old,1,0,ba,medium
把广大干部群众的积极性调动起来,10,new,10,0,ba,heavy
党把你派到这里来,1,old,10,1,ba,light
他们把新春的到来作为攀登更高目标的起点,5,new,10,0,ba,light
并亲自把饺子达到工人手中,2,old,0.5,1,ba,light
还能把媳妇气跑了,2,new,10,0,ba,light
卷扬机在源源不断地把新采的煤送出,4,old,10,0,ba,light
归根结底要把经济搞上去,2,new,10,0.5,ba,light
学员们满怀深情地把延安女大比作＂母亲＂和＂太阳＂,4,old,1,5,ba,light
我想把'只是近黄昏'改为'晚霞放光辉',5,old,0.5,0,ba,light
把白面和大米省下来给老人和孩子吃,5,new,10,0,ba,light
把人民的吃菜问题作为一个工程来建设,7,new,10,0,ba,medium
客观现实把建立国际政治和经济新秩序的问题，更加尖锐地摆在全世界面前,15,new,10,0,ba,heavy
论把发展电子工业放到突出位置,6,new,10,0,ba,medium
＂商能＂又把开拓的目标及时转向国际市场,5,new,10,0,ba,light
如果把发展较快的某些亚洲发展中国家和地区以及一些富有的产油国除外,27,new,10,0,ba,heavy
日苏双方都把４月中旬戈尔巴乔夫访日作为两国改善关系的良好机会。,11,new,10,1,ba,heavy
日本将把苏联列入＂政府开发援助对象国＂,2,old,0.5,0.5,ba,light
法、美两国把分歧搁置一边,2,old,10,0,ba,light
美国则以反对把伊拉克从科威特撤军同中东其他问题相联系为由拒绝了这一方案。,3,old,10,0,ba,light
欧共体力图把两德统一进程纳入自己的轨道,6,old,2,0,ba,medium
并且把统一后的德国栓在欧共体的车队里,6,old,1,1,ba,medium
密特朗再次对这个把两德会谈置于４个战胜国会谈之前的提法,4,old,3,1,ba,light
似乎把欧洲其它国家全部排除在外,6,old,8,0,ba,medium
直至午夜的钟声把这天送走,2,old,1,0,ba,light
把擅于雄辩而清廉的海部推上了总裁和内阁首相的宝座,10,old,10,0,ba,heavy
就必须把自己出身的河本派摆到重要地位,8,old,8,0,ba,medium
美国将把从南朝鲜撤军的人数降到最低限度,9,old,10,0,ba,medium
把难于兑现的事情说成是可行的,7,old,10,0,ba,medium
北约一向把苏联在东欧国家的驻军视为对西方安全的威胁,2,new,10,3,ba,light
把给予安盟的军事援助由过去每年１０００多万美元增加到去年的５０００多万美元,9,old,1,0,ba,medium
地质家们曾把它比作一个摔碎了的盆子又踏了一脚,1,old,1,1,ba,light
只要把地下情况吃透,4,old,0.5,1,ba,light
必须是把优势的勘探力量，放到地质认识程度比较深、地质评价比较高的地区,7,old,10,0,ba,medium
把住房当作纯福利而不当作商品,2,old,0.5,4,ba,light
把买彩电、冰箱的钱花在住房上、总有点儿不情愿,7,new,10,0,ba,medium
大家一直把解决住房的希望都放在国家和企业的投资上,7,new,10,0,ba,medium
同时把国家、企业的责任放在一个与它们能力相适应的地位,7,old,10,0,ba,medium
把三方面的积极性加在一起解决问题,7,old,10,0,ba,medium
把科技转化工作列入任期目标进行考核,6,old,1,1,ba,medium
