entry,weight,info,ref_dis,pers,form,bin
建立社会主义市场经济体制,10,new,10,0,can,heavy
海部总算相继打掉安倍派和渡边派的要求,10,new,10,0,can,heavy
两国在年底前均提高了利率,2,old,2,2,can,light
搞好滚动勘探的目的正在于此,4,old,10,0,can,light
这是我们办好一切事业的基础,4,new,10,1,can,light
搞地方保护主义,6,new,10,0,can,medium
宣布无条件释放前非国大领导人曼德拉和一些政治组织的成员,20,new,10,0,can,heavy
在落实市委一届五次全体（扩大）会议和市府第四次全体（扩大）会议的各项战略部署中,20,new,10,0,can,heavy
会议将结合深圳实际,4,new,10,0,can,light
实在无东西可写就在题目上做文章糊弄读者,2,new,10,0,can,light
做必要的澄清事实的工作,2,new,10,0,can,light
为推进改革、建设和发展服务,9,old,2,0,can,medium
又不搞群众运动,4,old,10,0,can,light
正当举国上下集中精力贯彻落实全国＂两会＂精神之际,6,new,10,0,can,medium
当老编,2,new,10,0.5,can,light
进一步规划好城市建设,4,old,0.5,0,can,light
就冷冷地扔过来一个２０厘米锅圈,8,old,1,1,can,medium
在全省追赶＂四小龙＂的进程中,3,new,10,0,can,light
却计划在海湾保留一支强有力的海军力量,10,new,10,0,can,heavy
一位中层干部放下手中的武侠小说后申辩,7,new,10,0,can,medium
为了落实中央的有关精神,7,old,10,0,can,medium
建设有中国特色的社会主义现代化强国,15,new,10,0,can,heavy
天津在改造旧城区时还新建了一条文化街,3,new,10,0,can,light
本报连续报道了有关＂黑熊事件＂和野生动物保护问题,15,new,10,0,can,heavy
竟再占用大片土地,4,old,10,0,can,light
大大降低政令的威信,5,new,10,0,can,light
法国同美国处理这一危机的立场并不完全一致,4,old,0.5,0,can,light
您现在听到的声音是济南箱包总厂正在砸毁一批箱子,4,old,1,3,can,light
欧共体将保留制定内部市场政策的独立性,6,new,10,0,can,medium
特别是德国统一问题已给共同体建立统一市场和推动一体化进程增添一层阴影,5,old,7,0,can,light
这两处电话连着改革开放的大业,7,old,0.5,0,can,medium
建设精神文明、振兴民族文化,4,new,10,0,can,light
继续推进改革开放,4,old,10,0,can,light
村里人称这座庙为＂关帝庙,3,old,2,1,can,light
大胆推出一些符合市情的规章条文,11,new,10,0,can,heavy
说就是为了调配相优化各种社会机制,6,new,10,0,can,medium
祁东县和长沙县把业余体校和体育传统项目学校合二为一,13,new,10,0,ba,heavy
沙米尔讲话的意图在于要把这９７万巴勒斯坦人赶到东岸约旦去,10,old,2,0,ba,heavy
报告把中国政府为人民做的一些好事，也都说成是坏事,13,new,10,0,ba,heavy
把主要攻击矛头指向中国,6,new,10,0,ba,medium
把我国建设成为富强、民主、文明的社会主义现代化国家,2,old,0.5,2,ba,light
把建立中国共产党领导的各革命阶级各革命派别的统一战线，称作是战胜敌人的主要武器之一,25,new,10,0,ba,heavy
要把这些方针、政策和措施真正落到实处,11,old,1,0,ba,heavy
把自己培养成有理想、有道德、有文化、有纪律的社会主义建设者,2,old,10,0,ba,light
标志着我们党在把马克思主义的普遍真理同中国建设和改革的具体实践相结合的道路上,23,new,10,0,ba,heavy
有利于把社会各方面、各阶层的力量调动和组织起来,11,new,10,0,ba,heavy
如何使这些群众组织把群众团结得更紧密,2,old,1,2,ba,light
才能把我们的事业顺利推向前进,5,new,10,0,ba,light
把这方面的工作切实抓好,6,old,0.5,1,ba,medium
把自己的意志强加于人,5,new,10,0,ba,light
他们究竟要把中美关系引向何方,4,old,0.5,2,ba,light
把农田水利建设放在农业生产的首位,6,new,10,0,ba,medium
努力把市场波动给农民造成的损失减少到最小,12,new,10,0,ba,heavy
这主要是由于我们党把马克思主义的基本民族理论同我国的民族实际紧密结合,20,new,10,0,ba,heavy
把贯彻＂百花齐放、百家争鸣＂的方针和贯彻民族政策，促进民族团结紧密结合起来,26,old,10,0,ba,heavy
为了把全民义务植树运动扎扎实实、卓有成效地开展下去,8,old,3,0,ba,medium
把自己的命运和人民的事业紧密联系在一起,11,new,10,0,ba,heavy
把自己的一切包括宝贵的生命都献给了人民,13,new,10,0,ba,heavy
把本职工作做好,4,old,0.5,0.5,ba,light
把光明和温暖留给人间,5,new,10,0,ba,light
我们愿把这地层打穿,3,new,10,0,ba,light
愿把这煤海掏净,2,new,10,0,ba,light
可却把它放在不知何时才能实现的＂中程＂阶段,1,old,0.5,0.5,ba,light
把航空母舰开到另一个主权国家哥伦比亚门口,4,new,10,0,ba,light
并且把日益加剧的美日经济摩擦同防卫问题联系起来,16,new,10,0,ba,heavy
９０年代新一轮深层次的改革则应把重点转到经济机制的转换上来,2,new,10,0,ba,light
努力把上海建成万商云集的商业中心,2,old,1,0,ba,light
有些同志总是习惯于把计划经济等同于社会主义经济,4,new,10,0,ba,light
不能把利用外资同自力更生对立起来,9,new,10,0.5,ba,medium
把灾害造成的损失降到最低程度,7,old,1,0,ba,medium
归根结底取决于能不能把经济建设搞上去,4,new,10,1,ba,light
把立国之本和强国之路密切结合起来,9,new,10,0,ba,medium
各级领导要把群众的冷暖时刻放在心上,5,new,10,0,ba,light
要把广大农民群众的积极性引导到大搞农田水利建设上来,10,new,10,0,ba,heavy
也要更多地把人家的好东西拿来,6,new,10,0,ba,medium
逐步把经济搞上去,2,new,10,0,ba,light
当厂长在职工大会上把＂全厂职工每人下浮一级工资，背水一战，扭亏增盈＂的改革方案交付表决时,25,new,10,0,ba,heavy
许多人不约而同地把眼光投向晁师傅,2,new,10,0,ba,light
必须坚持把加强农业放在首位,4,old,1,0,ba,light
把我们的改革开放事业进一步推向前进,9,old,0.5,0,ba,medium
把党和国家工作的着重点转移到以经济建设为中心的现代化建设上来,10,new,10,0,ba,heavy
把宏观调控的各项任务落到实处,9,old,8,2,ba,medium
把改进和加强宏观调控、解决经济中的突出问题，变成加快改革、建立社会主义市场经济体制的动力,19,old,0.5,1,ba,heavy
把党中央、国务院采取的一系列宏观调控措施，都说成是计划经济下的行政手段,18,new,10,0,ba,heavy
那种把宏观调控和加快发展对立起来的观点,9,old,1,1,ba,medium
把广大干部和群众建设社会主义的积极性引导好,17,new,10,0,ba,heavy
教育活动要结合不同地区、不同部门、不同对象的实际进行,15,new,10,0,can,heavy
赶走了侵略者,3,new,10,0,can,light
要给大家说明道理,2,new,10,0,can,light
成为指引全国人民胜利前进的行动纲领,8,new,10,0,can,medium
在建设有中国特色的社会主义道路上阔步前进,10,new,0,1,can,heavy
难怪有人称它是＂中国第一戏剧大篷车＂,1,old,1,0,can,light
要真正落实加强和改善宏观调控的各项任务,14,old,10,0,can,heavy
也培养锻炼了一批具有＂四有＂、＂四自＂精神的成功的女性,17,new,10,3,can,heavy
本市各行各业都要结合自己的工作任务,7,new,10,0,can,medium
这两个方面军调动了体教双方的积极性,8,old,10,0,can,medium
团结广大劳动人民,6,new,10,0,can,medium
推进政治体制改革,6,old,2,0,can,medium
甘肃省坚持不懈抓好粮食生产的成效,4,old,1,2,can,light
引导资金、科技和劳动的投入,10,new,10,0,can,heavy
一是在对农民加强思想教育的同时,4,new,10,0,can,light
儿子的枕下已放满了武侠小说、黄色书刊,8,new,10,0,can,medium
美国虽然赞成减少武器扩散,4,old,10,0,can,light
结合萨满教信仰的有关民族的一些事例,5,old,1,0,can,light
结合弗雷泽、任继愈的观点进行分析,9,new,10,0,can,medium
开展全民义务植树运动,8,old,7,0,can,medium
是党联系群众的桥梁和纽带,2,old,0.5,3,can,light
让我们每个人都为振兴中华贡献出一份力量吧,4,new,10,0,can,light
都来做促进群众解放思想、开动脑筋的工作,15,old,10,0,can,heavy
留下了许多动人的故事,7,new,10,0,can,medium
美国政府打错了算盘,2,new,10,0,can,light
他从衣兜里掏出早就准备好的一千元钱,10,new,10,1,can,heavy
不得不放慢了扩张脚步,4,new,10,0,can,light
中国的儒学也由于佛教的滋润而开出了宋明理学的新境界,8,old,10,0,can,medium
假借鬼、神、符、簏来联系群众,2,new,10,0,can,light
0,2,new,10,0,can,light
通过建立犹太移民居住点,7,old,10,0,can,medium
就等于抓住了深圳的未来,8,old,10,0,can,medium
大大降低政令的威信,5,old,10,0,can,light
为搞好民族工作提供了根本的保证,4,old,10,0,can,light
少放草食性鱼类,5,new,10,0,can,light
就是引导人民群众认识自己的利益,4,old,2,1,can,light
我们希望台湾当局拿出实际行动,4,new,10,0,can,light
进一步搞好治理整顿和深化改革,9,new,10,0,can,medium
１０５位英国议员向议会提交了一份动议,4,new,10,0,can,light
我们投入相等的人力、物力、财力进行勘探,9,new,10,0,can,medium
国土部门至今不予发放房产所有权证、用地使用证和房屋产权证明书,19,new,10,0,can,heavy
中国平息了一场以推翻合法政府和改变社会主义制度为目的的动乱和反革命暴乱,13,new,10,0,can,heavy
很快便扭转了这种局面,4,old,10,,can,light
是＂和平转变大陆＂,2,old,0.5,1,can,light
另一方面又要劝说美国不要采取报复性行动,2,old,1,1,can,light
领导者的责任主要是正确地引导农民按照市场需要组织和发展生产,2,old,0.5,1,can,light
是把人类与众生身心性命的本能效用，发挥到最大与极限的功能,14,new,10,0,ba,heavy
如果把修建＂介仁布＂小庙的时间算进去,10,old,10,0,ba,heavy
人们把他视为,1,old,1,1,ba,light
如果把这个曲线的任何一个片断或小段夸大为独立的完整的直线,14,old,10,0,ba,heavy
如果人们把认识的这一＂片断＂夸大,7,old,0.5,0,ba,medium
你也就把人和自然界抽象掉了,6,old,0.5,0.5,ba,medium
这种追问同样是把认识的某一片断无限夸大造成的,7,old,10,0,ba,medium
把自己看成一个从属的存在物,2,old,0.5,2,ba,light
在那里统治阶级的阶级利益就会把它巩固起来,1,old,0.5,1,ba,light
伊斯兰教法把人的行为分为五类,1,new,10,0,ba,light
一面又把大量的财物用于求神拜佛、做鬼祭祖,5,new,10,0,ba,light
即把尘世间的众生普渡回天宫,6,new,10,0,ba,medium
就会把不愿斋戒的人挡在教门之外,6,new,10,0,ba,medium
把世界分成三个时期,2,new,10,0,ba,light
八卦教的经卷又把孔夫子塞了进去,3,new,10,2,ba,light
把他变成了弥勒佛的化身,1,old,0.5,2,ba,light
显然这是把民间宗教传统的＂救世主＂弥勒佛和尘世间的＂圣人＂孔夫子融为一体了,23,old,0.5,0,ba,heavy
就很可能改变反宗教的态度,5,old,10,0,can,light
融合儒佛,2,old,3,0,can,light
并进一步发挥成＂菩提本无树，明镜亦非台＂、人生是＂四大皆空＂的理论,20,new,10,0,can,heavy
开始算清了为那九十万斤粮票他应付出的巨大代价,17,new,0,1,can,heavy
这说明古代学者极重视传统宗教祭祀,6,old,1,1,can,medium
在大乘佛教的立场看恶魔,2,new,0,0.5,can,light
清廷为了巩固已占领的土地,6,old,1,0,can,medium
用＂以蒙治蒙＂的政策,7,new,10,0,can,medium
以资普渡众生,2,new,10,0,can,light
以分散统治阶级的注意力,8,new,10,0,can,medium
膨胀的库存堵塞了企业生产经营的良性循环,11,new,10,0,can,heavy
